,wag,rt,emp,loa,car,pi,cpi,wibor_on,wibor_1m,reer,all_com_pri_ind,m3,pi_ea,pi_germany,oil
2001-09-01,2225.843307375,178.944058327,5054.654718649,193275.109216529,14.656768293,58.864039506,125.533060584,15.37,14.95,101.143342012211,57.7409250931971,327858.525892001,99.9,90,25.62
2001-10-01,2255.635365541,179.444340229,5028.509592126,194045.983067498,14.96986204,59.239973458,125.779619102,16.88,14.79,104.385519606937,52.0043469888844,330619.392202307,98.6,88.3,20.54
2001-11-01,2248.357047549,178.064488185,5012.750505888,194123.215919598,14.708085412,58.911793363,125.923266743,15.37,14.53,107.298555658857,49.964274873228,322993.473521751,97.9,87.5,18.8
2001-12-01,2246.256706642,181.388544274,4974.756547234,194827.610707584,14.416332858,58.789131226,126.325452673,11.76,12.43,108.809584673831,49.3995439996201,326367.858139139,98.5,88.3,18.71
2002-01-01,2255.942516939,182.274225885,4953.056132585,194705.753546074,14.13072543,58.692201277,126.682705947,12.84,11.9,108.683068138263,50.0703059018394,324382.682299459,98.5,88.3,19.42
2002-02-01,2259.31333766,184.385935708,4934.104748466,194885.611264612,13.912985551,59.208296247,126.808422491,11.04,10.84,106.555080262459,51.2497818948673,326370.560170972,98.8,88.4,20.28
2002-03-01,2271.982881895,185.798676087,4926.722837869,193634.616767353,13.679910204,60.261025596,127.009624061,11.08,10.61,107.139914626306,55.8658901590765,321403.348083841,99.4,88.8,23.7
2002-04-01,2242.813990562,180.273584723,4907.104952793,193606.913405547,13.475433355,57.075911158,127.309158831,10.83,10.45,108.239187854302,57.5559461116132,320954.668292949,99.5,89.2,25.73
2002-05-01,2283.53001539,179.780504351,4896.785321283,194118.371979836,13.657913726,57.039211123,126.854263471,9.67,9.95,105.00937597021,58.149984588928,325313.205778408,99.7,88.5,25.35
2002-06-01,2276.082659949,183.521354958,4891.334523373,194806.176367715,13.843141996,60.708173633,126.603510086,10.58,9.54,101.406739631831,57.6513723257192,325377.669892583,100,90.2,24.08
2002-07-01,2283.260024969,186.578271048,4878.352636558,195827.203353259,14.013275124,60.705158044,126.647157053,8.91,8.97,95.3819611561637,59.8823101840951,328049.19897832,99.4,88.9,25.74
2002-08-01,2289.503254529,186.823068808,4872.837521537,196325.391688445,13.94231647,60.823225424,126.812191494,8.74,8.78,94.956406392957,60.5371594596534,326460.881827746,99.9,90.8,26.65
2002-09-01,2299.233296017,185.406539434,4860.201417939,196919.956433385,13.859707554,61.544339154,126.914023203,8.17,8.14,95.3436450219453,62.934033341958,324931.667038024,100,89.9,28.4
2002-10-01,2285.554600003,186.76156503,4857.021883628,196567.896228029,13.771651995,61.025269467,127.039872938,7.45,7.59,96.2756070856918,62.7225515164535,324266.404921334,99.4,89.1,27.54
2002-11-01,2288.27177972,185.645719385,4856.488218336,196434.86757544,13.674677952,61.769377468,126.98403338,7.19,7.05,98.5869697347079,59.6668997085289,322799.995792719,100,90.4,24.34
2002-12-01,2292.778655411,183.819864715,4859.313665678,196259.406650401,13.544867249,61.118242475,127.196380662,7.27,7.07,97.7309424001245,62.6629464557512,322787.529044956,98.7,88.9,28.33
2003-01-01,2304.471321476,187.826101877,4745.607978546,196857.549644436,13.423116177,60.374609175,127.149518515,7.16,6.76,92.882431321248,66.4720100961463,322810.166658484,100.1,89.7,31.18
2003-02-01,2295.026938239,188.359141175,4742.266830304,197216.443613463,13.337926439,61.635717115,127.287189145,6.28,6.51,94.2589395308286,69.3587614073331,325647.669356698,100.3,90,32.77
2003-03-01,2290.637692511,183.561685131,4730.799145166,198398.525868094,13.242963405,62.032975,127.581944626,6.45,6.26,90.7927952971881,65.7322150810199,325722.563425162,99.6,90,30.61
2003-04-01,2327.684263649,191.796931868,4725.995983712,199036.603371227,13.175550901,63.097797218,127.553089034,6,6.07,91.8972091349553,60.6948046190365,326096.715483053,99.9,89.6,25
2003-05-01,2314.192623219,195.517418451,4722.890278996,200406.826767783,13.394589972,65.140152474,127.358731263,5.79,5.73,91.9988708320499,61.4764339317217,328509.619278992,98.3,89.1,25.86
2003-06-01,2332.024009099,193.553154107,4716.269650402,198844.65764378,13.614907598,64.220876092,127.479123636,5.5,5.51,89.591377435099,62.9953610438944,331747.659304222,98.3,88.5,27.65
2003-07-01,2343.544306433,192.613361458,4717.309437748,200321.234910283,13.819719839,66.954766395,127.593919759,5.47,5.31,89.1256204372463,63.2998324427707,332471.716342917,99.8,90.3,28.35
2003-08-01,2341.136906371,194.705379954,4715.327184064,200885.932634364,13.779603558,65.890152803,127.75131217,5.03,5.26,89.7853849246161,64.9543200406717,333861.042983645,98.8,88.4,29.89
2003-09-01,2363.278320159,197.563662162,4708.168380622,200610.141890595,13.73120475,67.20030013,128.082674616,5.17,5.25,88.1102204610132,63.0386196111059,336676.278707702,98.5,88,27.11
2003-10-01,2360.82475564,199.989515863,4704.460165761,201402.843102981,13.67532444,68.285307458,128.598399174,5.19,5.4,86.3124794770212,66.3965824838994,340886.295081281,100.8,90.4,29.61
2003-11-01,2388.526448364,205.843416211,4697.850411901,203278.589533953,13.97598661,68.892699736,129.040965183,5.07,5.43,86.2662609028704,67.3271694762996,341810.518320565,100.5,91.1,28.75
2003-12-01,2393.952122598,208.376123855,4689.792679813,202660.13957358,14.240640027,68.758700852,129.4798301,5.17,5.53,85.9055814938997,69.110108227211,341560.136981778,100.9,91.4,29.81
2004-01-01,2395.717677575,198.959183343,4674.747693012,203922.118508558,14.515171346,70.129547129,129.521546444,4.99,5.37,85.3558800816296,71.969436585724,340876.038881747,100.7,91.6,31.28
2004-02-01,2427.605296324,202.951751082,4671.284817292,204675.59848714,14.795267629,71.743436271,129.668535668,5.31,5.37,82.5469920877605,73.0187953840496,343594.001315323,101.4,91.9,30.86
2004-03-01,2424.996317808,212.459502028,4669.651424457,206595.467802895,15.070799783,73.510810546,129.965518285,5.19,5.38,83.7475678664179,76.5258999923262,345860.25467433,101.1,91.1,33.63
2004-04-01,2427.197351728,244.2623469,4674.088379641,208240.844762045,15.373183009,76.370443427,130.607844765,5.23,5.55,83.722825906377,77.0791151344303,355360.097328884,101.7,92.3,33.59
2004-05-01,2425.069640608,201.272854452,4681.008877364,207163.158157303,15.296738526,74.644030225,131.65946653,5.27,5.75,85.1901278214879,81.0704720992988,350734.440659014,102,93.3,37.57
2004-06-01,2425.543550122,198.335819377,4682.545857876,209513.686077418,15.220262793,72.724009182,133.059462289,4.61,5.54,88.2315801192945,79.1596906120223,356864.810937222,102,92.5,35.18
2004-07-01,2434.343680394,204.694485921,4684.2078583,209833.90481738,15.127300543,72.573887572,133.540506303,5.63,6,90.6572898410561,81.4605729567248,356911.793801555,102.6,93.6,38.22
2004-08-01,2461.009667433,204.888909166,4679.794483052,211710.378243296,15.21704937,74.113747887,133.681298808,6.16,6.32,90.73612004614,84.6232985994483,360386.375009996,101.1,92.7,42.74
2004-09-01,2460.49108012,205.854808181,4684.026025032,213685.407761561,15.301350118,73.628943623,133.840702557,6.2,6.79,92.3046373389112,83.6454706488401,361311.198257704,102.2,92.5,43.2
2004-10-01,2436.825787843,202.57746351,4689.810296747,229775.920918106,15.376372027,73.441149015,134.359782385,6.36,6.68,94.0611951845506,89.2386840022603,379197.581547158,102.6,93.7,49.78
2004-11-01,2445.688780566,203.272254955,4688.050710419,219517.928689775,15.242210391,73.924691438,134.804990691,6.4,6.69,96.1044219926141,84.5257057631926,366579.658130573,101.6,92.2,43.11
